UF_ACR;CODE_MUNI_7;YEAR;CASES
RO;1100015;2015;9
RO;1100015;2016;4
RO;1100015;2017;1
RO;1100015;2019;3
RO;1100015;2022;1
RO;1100023;2016;15
RO;1100023;2017;4
RO;1100023;2018;5
RO;1100023;2020;13
RO;1100023;2021;4
RO;1100023;2022;4
RO;1100031;2019;2
RO;1100049;2015;8
RO;1100049;2016;74
RO;1100049;2017;8
RO;1100049;2018;15
RO;1100049;2019;16
RO;1100049;2020;2
RO;1100049;2021;7
RO;1100049;2022;12
RO;1100056;2016;93
RO;1100056;2017;8
RO;1100056;2019;6
RO;1100056;2020;7
RO;1100056;2021;1
RO;1100056;2022;11
RO;1100064;2016;3
RO;1100064;2021;15
RO;1100072;2016;4
RO;1100072;2017;1
RO;1100072;2019;1
RO;1100098;2017;3
RO;1100098;2020;1
RO;1100106;2015;1
RO;1100106;2016;164
RO;1100106;2017;4
RO;1100106;2018;2
RO;1100106;2019;1
RO;1100106;2022;2
RO;1100114;2016;9
RO;1100114;2017;23
RO;1100114;2018;1
RO;1100114;2019;2
RO;1100114;2020;1
RO;1100114;2022;1
RO;1100122;2015;7
RO;1100122;2016;207
RO;1100122;2017;13
RO;1100122;2018;7
RO;1100122;2019;1
RO;1100122;2021;13
RO;1100122;2022;50
RO;1100148;2016;1
RO;1100148;2022;1
RO;1100155;2016;18
RO;1100155;2017;9
RO;1100155;2018;1
RO;1100155;2019;1
RO;1100155;2020;1
RO;1100155;2022;3
RO;1100189;2016;17
RO;1100189;2019;1
RO;1100189;2021;1
RO;1100189;2022;3
RO;1100205;2014;9
RO;1100205;2015;26
RO;1100205;2016;698
RO;1100205;2017;92
RO;1100205;2018;17
RO;1100205;2019;30
RO;1100205;2020;13
RO;1100205;2021;13
RO;1100205;2022;24
RO;1100254;2016;1
RO;1100254;2017;5
RO;1100254;2019;13
RO;1100254;2020;28
RO;1100254;2021;34
RO;1100254;2022;42
RO;1100262;2022;1
RO;1100288;2016;3
RO;1100296;2016;2
RO;1100296;2017;1
RO;1100296;2020;3
RO;1100296;2021;1
RO;1100296;2022;1
RO;1100304;2015;7
RO;1100304;2016;137
RO;1100304;2017;12
RO;1100304;2019;11
RO;1100304;2020;18
RO;1100304;2021;14
RO;1100304;2022;10
RO;1100320;2019;1
RO;1100320;2021;1
RO;1100338;2016;3
RO;1100338;2020;3
RO;1100346;2022;1
RO;1100379;2016;1
RO;1100379;2017;1
RO;1100379;2018;2
RO;1100379;2019;2
RO;1100379;2020;4
RO;1100379;2021;1
RO;1100403;2016;1
RO;1100403;2017;2
RO;1100403;2018;1
RO;1100403;2019;2
RO;1100502;2016;3
RO;1100502;2019;2
RO;1100601;2017;10
RO;1100700;2017;1
RO;1100809;2016;1
RO;1100809;2017;1
RO;1100809;2019;2
RO;1100809;2021;1
RO;1100908;2016;5
RO;1100924;2022;2
RO;1100940;2017;2
RO;1100940;2022;1
RO;1101005;2020;1
RO;1101005;2022;1
RO;1101104;2017;1
RO;1101203;2016;1
RO;1101203;2017;1
RO;1101401;2016;3
RO;1101401;2017;1
RO;1101401;2021;2
RO;1101401;2022;1
RO;1101435;2017;5
RO;1101450;2021;28
RO;1101468;2016;16
RO;1101468;2017;2
RO;1101468;2018;6
RO;1101468;2019;8
RO;1101468;2021;1
RO;1101476;2016;2
RO;1101476;2017;2
RO;1101476;2019;2
RO;1101476;2020;10
RO;1101476;2021;7
RO;1101484;2016;1
RO;1101492;2016;5
RO;1101500;2022;2
RO;1101559;2016;7
RO;1101559;2018;2
RO;1101609;2020;1
RO;1101609;2021;1
RO;1101708;2017;3
RO;1101708;2018;1
RO;1101708;2022;2
RO;1101757;2018;1
RO;1101807;2020;1
RO;1101807;2021;2
AC;1200013;2022;1
AC;1200054;2016;44
AC;1200054;2018;1
AC;1200054;2019;1
AC;1200104;2015;2
AC;1200104;2016;46
AC;1200104;2017;31
AC;1200104;2018;7
AC;1200104;2019;1
AC;1200104;2020;2
AC;1200104;2021;2
AC;1200138;2021;1
AC;1200203;2015;3
AC;1200203;2016;34
AC;1200203;2017;12
AC;1200203;2018;29
AC;1200203;2019;2
AC;1200203;2020;19
AC;1200203;2021;56
AC;1200203;2022;15
AC;1200252;2016;12
AC;1200252;2017;10
AC;1200252;2018;2
AC;1200252;2019;3
AC;1200252;2020;1
AC;1200252;2021;1
AC;1200302;2018;6
AC;1200302;2021;5
AC;1200302;2022;1
AC;1200336;2020;4
AC;1200336;2021;97
AC;1200336;2022;41
AC;1200344;2016;1
AC;1200344;2021;1
AC;1200351;2021;2
AC;1200385;2016;1
AC;1200385;2017;2
AC;1200385;2019;1
AC;1200401;2015;40
AC;1200401;2016;730
AC;1200401;2017;51
AC;1200401;2018;118
AC;1200401;2019;33
AC;1200401;2020;29
AC;1200401;2021;12
AC;1200401;2022;12
AC;1200427;2017;1
AC;1200427;2021;6
AC;1200450;2016;1
AC;1200450;2017;1
AC;1200450;2019;1
AC;1200500;2016;3
AC;1200609;2018;122
AC;1200609;2019;26
AC;1200609;2020;2
AC;1200609;2021;66
AC;1200708;2015;13
AC;1200708;2016;27
AC;1200708;2017;3
AC;1200708;2018;2
AC;1200708;2021;6
AC;1200807;2018;1
AM;1300029;2017;1
AM;1300029;2022;37
AM;1300144;2015;1
AM;1300144;2016;1
AM;1300201;2021;1
AM;1300201;2022;4
AM;1300409;2016;3
AM;1300409;2018;2
AM;1300409;2020;2
AM;1300607;2018;1
AM;1300607;2020;2
AM;1300607;2022;1
AM;1300631;2017;1
AM;1300631;2021;7
AM;1300706;2019;2
AM;1300706;2021;2
AM;1300805;2016;15
AM;1300805;2017;17
AM;1300805;2018;11
AM;1300805;2019;11
AM;1300805;2020;3
AM;1300805;2021;1
AM;1300805;2022;3
AM;1301001;2019;1
AM;1301001;2022;21
AM;1301209;2016;2
AM;1301209;2017;1
AM;1301209;2021;1
AM;1301209;2022;2
AM;1301308;2017;2
AM;1301407;2021;3
AM;1301605;2020;1
AM;1301654;2016;1
AM;1301704;2017;7
AM;1301803;2022;3
AM;1301852;2017;1
AM;1301852;2018;1
AM;1301852;2021;3
AM;1301852;2022;2
AM;1301902;2017;2
AM;1301902;2018;3
AM;1301902;2021;3
AM;1301902;2022;1
AM;1302405;2021;1
AM;1302504;2017;1
AM;1302504;2018;1
AM;1302504;2021;2
AM;1302504;2022;5
AM;1302603;2014;21
AM;1302603;2015;142
AM;1302603;2016;521
AM;1302603;2017;196
AM;1302603;2018;44
AM;1302603;2019;59
AM;1302603;2020;24
AM;1302603;2021;77
AM;1302603;2022;61
AM;1302900;2019;1
AM;1303106;2016;1
AM;1303205;2016;10
AM;1303205;2017;5
AM;1303205;2019;11
AM;1303205;2021;3
AM;1303304;2016;3
AM;1303403;2016;1
AM;1303403;2017;3
AM;1303403;2020;1
AM;1303403;2021;9
AM;1303403;2022;3
AM;1303536;2016;7
AM;1303536;2017;3
AM;1303536;2019;1
AM;1303536;2021;3
AM;1303536;2022;1
AM;1303569;2018;1
AM;1303569;2021;1
AM;1303569;2022;2
AM;1303601;2021;1
AM;1303601;2022;2
AM;1303809;2017;1
AM;1303809;2018;6
AM;1303809;2019;2
AM;1303809;2021;1
AM;1304062;2015;1
AM;1304062;2016;5
AM;1304062;2021;7
AM;1304062;2022;5
AM;1304104;2016;1
AM;1304104;2017;8
AM;1304104;2018;1
AM;1304104;2021;3
AM;1304104;2022;1
AM;1304203;2016;2
AM;1304203;2019;1
AM;1304203;2021;37
AM;1304203;2022;15
RR;1400027;2016;1
RR;1400027;2017;3
RR;1400027;2018;1
RR;1400027;2020;1
RR;1400027;2022;2
RR;1400050;2016;2
RR;1400050;2017;9
RR;1400050;2019;2
RR;1400050;2021;3
RR;1400050;2022;68
RR;1400100;2014;167
RR;1400100;2015;392
RR;1400100;2016;50
RR;1400100;2017;3793
RR;1400100;2018;37
RR;1400100;2019;14
RR;1400100;2020;8
RR;1400100;2021;13
RR;1400100;2022;23
RR;1400159;2014;5
RR;1400159;2017;15
RR;1400159;2019;7
RR;1400175;2015;1
RR;1400175;2016;3
RR;1400175;2017;5
RR;1400175;2021;1
RR;1400209;2017;14
RR;1400209;2019;1
RR;1400209;2022;1
RR;1400233;2016;9
RR;1400233;2019;1
RR;1400233;2021;3
RR;1400233;2022;1
RR;1400308;2014;1
RR;1400308;2015;39
RR;1400308;2016;9
RR;1400308;2017;59
RR;1400308;2018;3
RR;1400308;2019;9
RR;1400308;2021;3
RR;1400308;2022;1
RR;1400456;2017;1
RR;1400456;2022;7
RR;1400472;2015;2
RR;1400472;2016;3
RR;1400472;2017;106
RR;1400472;2018;1
RR;1400472;2019;3
RR;1400472;2021;3
RR;1400472;2022;2
RR;1400506;2016;1
RR;1400506;2017;1
RR;1400506;2019;2
RR;1400506;2020;1
RR;1400506;2021;25
RR;1400506;2022;1
RR;1400605;2017;4
RR;1400704;2017;5
RR;1400704;2019;1
PA;1500107;2015;2
PA;1500107;2016;59
PA;1500107;2017;34
PA;1500107;2018;33
PA;1500107;2019;27
PA;1500107;2020;4
PA;1500107;2021;4
PA;1500131;2016;93
PA;1500131;2017;56
PA;1500206;2018;1
PA;1500206;2019;2
PA;1500206;2020;1
PA;1500305;2022;1
PA;1500347;2016;1
PA;1500347;2017;52
PA;1500347;2019;2
PA;1500404;2017;2
PA;1500404;2018;5
PA;1500404;2019;3
PA;1500404;2021;1
PA;1500602;2016;7
PA;1500602;2017;13
PA;1500602;2018;6
PA;1500602;2019;16
PA;1500602;2020;21
PA;1500602;2022;2
PA;1500800;2014;11
PA;1500800;2015;284
PA;1500800;2016;292
PA;1500800;2017;203
PA;1500800;2018;790
PA;1500800;2019;321
PA;1500800;2020;11
PA;1500800;2021;4
PA;1500800;2022;17
PA;1500859;2016;1
PA;1500859;2017;190
PA;1500859;2019;2
PA;1500909;2016;1
PA;1500909;2017;12
PA;1500909;2018;4
PA;1500909;2019;2
PA;1500909;2020;1
PA;1500909;2022;1
PA;1500958;2020;1
PA;1501204;2021;1
PA;1501303;2016;11
PA;1501303;2017;67
PA;1501303;2018;49
PA;1501303;2019;6
PA;1501303;2020;7
PA;1501303;2021;1
PA;1501303;2022;2
PA;1501402;2014;13
PA;1501402;2015;105
PA;1501402;2016;352
PA;1501402;2017;1082
PA;1501402;2018;3938
