CODE_MUNI;YEAR;POPULACAO;CASESy;INCy
1100015;2014;25652;0;0
1100015;2015;25578;9;35,18648839
1100015;2016;25506;4;15,68258449
1100015;2017;25437;1;3,931281205
1100015;2018;23167;0;0
1100015;2019;22945;3;13,07474395
1100015;2020;22728;0;0
1100015;2021;22516;0;0
1100015;2022;21558;1;4,638649225
1100023;2014;102860;0;0
1100023;2015;104401;0;0
1100023;2016;105896;15;14,16484098
1100023;2017;107345;4;3,726303042
1100023;2018;106168;5;4,709516992
1100023;2019;107863;0;0
1100023;2020;109523;13;11,86965295
1100023;2021;111148;4;3,598805197
1100023;2022;100896;4;3,964478275
1100031;2014;6424;0;0
1100031;2015;6355;0;0
1100031;2016;6289;0;0
1100031;2017;6224;0;0
1100031;2018;5438;0;0
1100031;2019;5312;2;37,65060241
1100031;2020;5188;0;0
1100031;2021;5067;0;0
1100031;2022;5107;0;0
1100049;2014;86556;0;0
1100049;2015;87226;8;9,171577282
1100049;2016;87877;74;84,20860976
1100049;2017;88507;8;9,038833087
1100049;2018;84813;15;17,68596795
1100049;2019;85359;16;18,74436205
1100049;2020;85893;2;2,328478456
1100049;2021;86416;7;8,100351787
1100049;2022;92202;12;13,01490206
1100056;2014;18013;0;0
1100056;2015;17986;0;0
1100056;2016;17959;93;517,8462052
1100056;2017;17934;8;44,60800714
1100056;2018;16444;0;0
1100056;2019;16323;6;36,75794891
1100056;2020;16204;7;43,19921007
1100056;2021;16088;1;6,215813028
1100056;2022;15237;11;72,19268885
1100064;2014;19001;0;0
1100064;2015;18817;0;0
1100064;2016;18639;3;16,09528408
1100064;2017;18467;0;0
1100064;2018;16227;0;0
1100064;2019;15882;0;0
1100064;2020;15544;0;0
1100064;2021;15213;15;98,59988168
1100064;2022;15747;0;0
1100072;2014;8938;0;0
1100072;2015;8842;0;0
1100072;2016;8749;4;45,7195108
1100072;2017;8659;1;11,54867768
1100072;2018;7567;0;0
1100072;2019;7391;1;13,52996888
1100072;2020;7220;0;0
1100072;2021;7052;0;0
1100072;2022;7503;0;0
1100080;2014;16258;0;0
1100080;2015;16651;0;0
1100080;2016;17031;0;0
1100080;2017;17400;0;0
1100080;2018;17855;0;0
1100080;2019;18331;0;0
1100080;2020;18798;0;0
1100080;2021;19255;0;0
1100080;2022;12633;0;0
1100098;2014;32047;0;0
1100098;2015;32385;0;0
1100098;2016;32712;0;0
1100098;2017;33030;3;9,082652134
1100098;2018;32047;0;0
1100098;2019;32374;0;0
1100098;2020;32695;1;3,058571647
1100098;2021;33009;0;0
1100098;2022;29722;0;0
1100106;2014;46203;0;0
1100106;2015;46632;1;2,144450163
1100106;2016;47048;164;348,5801734
1100106;2017;47451;4;8,429748583
1100106;2018;45783;2;4,368433698
1100106;2019;46174;1;2,165720969
1100106;2020;46556;0;0
1100106;2021;46930;0;0
1100106;2022;39396;2;5,076657529
1100114;2014;55669;0;0
1100114;2015;55738;0;0
1100114;2016;55806;9;16,12729814
1100114;2017;55871;23;41,16625799
1100114;2018;51933;1;1,92555793
1100114;2019;51775;2;3,86286818
1100114;2020;51620;1;1,93723363
1100114;2021;51469;0;0
1100114;2022;52090;1;1,919754271
1100122;2014;129242;0;0
1100122;2015;130419;7;5,367316112
1100122;2016;131560;207;157,3426573
1100122;2017;132667;13;9,798970354
1100122;2018;127907;7;5,472726278
1100122;2019;128969;1;0,77538013
1100122;2020;130009;0;0
1100122;2021;131026;13;9,921694931
1100122;2022;136825;50;36,54302942
1100130;2014;36412;0;0
1100130;2015;37167;0;0
1100130;2016;37899;0;0
1100130;2017;38609;0;0
1100130;2018;39097;0;0
1100130;2019;39991;0;0
1100130;2020;40867;0;0
1100130;2021;41724;0;0
1100130;2022;30626;0;0
1100148;2014;21511;0;0
1100148;2015;21592;0;0
1100148;2016;21670;1;4,614674665
1100148;2017;21747;0;0
1100148;2018;20459;0;0
1100148;2019;20474;0;0
1100148;2020;20489;0;0
1100148;2021;20504;0;0
1100148;2022;17355;1;5,762028234
1100155;2014;40010;0;0
1100155;2015;39924;0;0
1100155;2016;39840;18;45,18072289
1100155;2017;39759;9;22,63638421
1100155;2018;36340;1;2,751788663
1100155;2019;36035;1;2,775079784
1100155;2020;35737;1;2,798220332
1100155;2021;35445;0;0
1100155;2022;36753;3;8,162598972
1100189;2014;37230;0;0
1100189;2015;37512;0;0
1100189;2016;37786;17;44,99020801
1100189;2017;38051;0;0
1100189;2018;36434;0;0
1100189;2019;36660;1;2,727768685
1100189;2020;36881;0;0
1100189;2021;37098;1;2,695563103
1100189;2022;37464;3;8,00768738
1100205;2014;494013;9;1,821814406
1100205;2015;502748;26;5,171577013
1100205;2016;511219;698;136,5363963
1100205;2017;519436;92;17,71151788
1100205;2018;519531;17;3,272182026
1100205;2019;529544;30;5,665251613
1100205;2020;539354;13;2,410290829
1100205;2021;548952;13;2,368148763
1100205;2022;461748;24;5,197640271
1100254;2014;22783;0;0
1100254;2015;22557;0;0
1100254;2016;22337;1;4,476876931
1100254;2017;22124;5;22,59989152
1100254;2018;19409;0;0
1100254;2019;18986;13;68,47150532
1100254;2020;18571;28;150,7727101
1100254;2021;18165;34;187,1731352
1100254;2022;19316;42;217,4363222
1100262;2014;3709;0;0
1100262;2015;3750;0;0
1100262;2016;3790;0;0
1100262;2017;3829;0;0
1100262;2018;3723;0;0
1100262;2019;3764;0;0
1100262;2020;3804;0;0
1100262;2021;3843;0;0
1100262;2022;3476;1;28,76869965
1100288;2014;55807;0;0
1100288;2015;56242;0;0
1100288;2016;56664;3;5,294366794
1100288;2017;57074;0;0
1100288;2018;54702;0;0
1100288;2019;55058;0;0
1100288;2020;55407;0;0
1100288;2021;55748;0;0
1100288;2022;57180;0;0
1100296;2014;8706;0;0
1100296;2015;8532;0;0
1100296;2016;8362;2;23,91772303
1100296;2017;8198;1;12,1980971
1100296;2018;6781;0;0
1100296;2019;6495;0;0
1100296;2020;6216;3;48,26254826
1100296;2021;5942;1;16,82935039
1100296;2022;7394;1;13,52447931
1100304;2014;89797;0;0
1100304;2015;91801;7;7,625189268
1100304;2016;93745;137;146,1411275
1100304;2017;95630;12;12,54836348
1100304;2018;97448;0;0
1100304;2019;99854;11;11,01608348
1100304;2020;102211;18;17,61062899
1100304;2021;104517;14;13,3949501
1100304;2022;95599;10;10,46036046
1100320;2014;23803;0;0
1100320;2015;23933;0;0
1100320;2016;24059;0;0
1100320;2017;24181;0;0
1100320;2018;22931;0;0
1100320;2019;23005;1;4,346881113
1100320;2020;23077;0;0
1100320;2021;23147;1;4,320214283
1100320;2022;21612;0;0
1100338;2014;26925;0;0
1100338;2015;27600;0;0
1100338;2016;28255;3;10,61758981
1100338;2017;28891;0;0
1100338;2018;29757;0;0
1100338;2019;30583;0;0
1100338;2020;31392;3;9,556574924
1100338;2021;32184;0;0
1100338;2022;25452;0;0
1100346;2014;17228;0;0
1100346;2015;17063;0;0
1100346;2016;16902;0;0
1100346;2017;16747;0;0
1100346;2018;14722;0;0
1100346;2019;14411;0;0
1100346;2020;14106;0;0
1100346;2021;13807;0;0
1100346;2022;13092;1;7,638252368
1100379;2014;13884;0;0
1100379;2015;13940;0;0
1100379;2016;13993;1;7,146430358
1100379;2017;14045;1;7,11997152
1100379;2018;13227;2;15,12058668
1100379;2019;13241;2;15,10459935
1100379;2020;13255;4;30,17729159
1100379;2021;13268;1;7,536930962
1100379;2022;13023;0;0
1100403;2014;19841;0;0
1100403;2015;20210;0;0
1100403;2016;20569;1;4,86168506
1100403;2017;20916;2;9,562057755
1100403;2018;20999;1;4,76213153
1100403;2019;21428;2;9,333582229
1100403;2020;21847;0;0
1100403;2021;22258;0;0
1100403;2022;17140;0;0
1100452;2014;37207;0;0
1100452;2015;37838;0;0
1100452;2016;38450;0;0
1100452;2017;39044;0;0
1100452;2018;38937;0;0
1100452;2019;39654;0;0
1100452;2020;40356;0;0
1100452;2021;41043;0;0
1100452;2022;28178;0;0
1100502;2014;10393;0;0
1100502;2015;10276;0;0
1100502;2016;10161;3;29,52465309
1100502;2017;10051;0;0
1100502;2018;8751;0;0
1100502;2019;8538;2;23,42468962
1100502;2020;8329;0;0
1100502;2021;8125;0;0
1100502;2022;7653;0;0
