"";"MONTH";"adjusted_date";"TOTAL_CASES";"UF_ACR";"position"
"1";"2014-02";2014-02-04;689;"BA-PE";1
"2";"2014-02";2014-02-04;689;"BA-PE";-1
"3";"2014-04";2014-04-01;195;"CE-MG-RN";1
"4";"2014-04";2014-04-01;195;"CE-MG-RN";-1
"5";"2014-06";2014-06-03;481;"AP-GO-PA-PR-RJ-RO-SP";1
"6";"2014-06";2014-06-03;481;"AP-GO-PA-PR-RJ-RO-SP";-1
"7";"2014-08";2014-08-05;182;"RR-SC";1
"8";"2014-08";2014-08-05;182;"RR-SC";-1
"9";"2014-09";2014-09-03;95;"MS-PB-PI-RS";1
"10";"2014-09";2014-09-03;95;"MS-PB-PI-RS";-1
"11";"2014-10";2014-10-08;125;"AL-AM-DF-ES-SE-TO";1
"12";"2014-10";2014-10-08;125;"AL-AM-DF-ES-SE-TO";-1
"13";"2014-11";2014-11-20;4;"MT";1
"14";"2014-11";2014-11-20;4;"MT";-1
"15";"2015-01";2015-01-01;355;"MA";1
"16";"2015-01";2015-01-01;355;"MA";-1
"17";"2015-02";2015-02-06;58;"AC";1
"18";"2015-02";2015-02-06;58;"AC";-1
