"";"UF_ACR";"MIN_DATE";"TOTAL_CASES"
"1";"AC";2015-02-06;58
"2";"AL";2014-10-08;19
"3";"AM";2014-10-21;21
"4";"AP";2014-06-06;181
"5";"BA";2014-02-04;660
"6";"CE";2014-04-28;10
"7";"DF";2014-10-23;10
"8";"ES";2014-10-24;5
"9";"GO";2014-06-16;26
"10";"MA";2015-01-01;355
"11";"MG";2014-04-23;138
"12";"MS";2014-09-16;72
"13";"MT";2014-11-20;4
"14";"PA";2014-06-24;40
"15";"PB";2014-09-30;8
"16";"PE";2014-02-25;29
"17";"PI";2014-09-04;4
"18";"PR";2014-06-18;25
"19";"RJ";2014-06-03;25
"20";"RN";2014-04-01;47
"21";"RO";2014-06-16;9
"22";"RR";2014-08-30;173
"23";"RS";2014-09-03;11
"24";"SC";2014-08-05;9
"25";"SE";2014-10-30;64
"26";"SP";2014-06-06;175
"27";"TO";2014-10-20;6
