"CODE_MUNI";"COD_UF";"ACR_UF";"HIERARCHY"
3550308;35;"SP";"metropolitana"
3304557;33;"RJ";"metropolitana"
5300108;53;"DF";"metropolitana"
3106200;31;"MG";"metropolitana"
4314902;43;"RS";"metropolitana"
4106902;41;"PR";"metropolitana"
3509502;35;"SP";"metropolitana"
2927408;29;"BA";"metropolitana"
2611606;26;"PE";"metropolitana"
2304400;23;"CE";"metropolitana"
1302603;13;"AM";"metropolitana"
5208707;52;"GO";"metropolitana"
3205309;32;"ES";"metropolitana"
1501402;15;"PA";"metropolitana"
4205407;42;"SC";"metropolitana"
3543402;35;"SP";"metropolitana"
2111300;21;"MA";"metropolitana"
2408102;24;"RN";"metropolitana"
5103403;51;"MT";"metropolitana"
5002704;50;"MS";"metropolitana"
2507507;25;"PB";"metropolitana"
2704302;27;"AL";"metropolitana"
2800308;28;"SE";"metropolitana"
2211001;22;"PI";"metropolitana"
3549904;35;"SP";"metropolitana"
3552205;35;"SP";"metropolitana"
3170206;31;"MG";"metropolitana"
4208203;42;"SC";"metropolitana"
4209102;42;"SC";"metropolitana"
4113700;41;"PR";"metropolitana"
4305108;43;"RS";"metropolitana"
4115200;41;"PR";"metropolitana"
4202404;42;"SC";"metropolitana"
3549805;35;"SP";"metropolitana"
3136702;31;"MG";"metropolitana"
1100205;11;"RO";"metropolitana"
3506003;35;"SP";"metropolitana"
2910800;29;"BA";"metropolitana"
4204608;42;"SC";"metropolitana"
4104808;41;"PR";"metropolitana"
4204202;42;"SC";"metropolitana"
3143302;31;"MG";"metropolitana"
4314100;43;"RS";"metropolitana"
1721000;17;"TO";"metropolitana"
2307304;23;"CE";"metropolitana"
2604106;26;"PE";"metropolitana"
2933307;29;"BA";"metropolitana"
2914802;29;"BA";"metropolitana"
3525904;35;"SP";"metropolitana"
3548500;35;"SP";"metropolitana"
3302403;33;"RJ";"metropolitana"
3538709;35;"SP";"metropolitana"
3301009;33;"RJ";"metropolitana"
3501608;35;"SP";"metropolitana"
3306305;33;"RJ";"metropolitana"
3131307;31;"MG";"metropolitana"
4119905;41;"PR";"metropolitana"
4108304;41;"PR";"metropolitana"
3170107;31;"MG";"metropolitana"
5201108;52;"GO";"metropolitana"
3303906;33;"RJ";"metropolitana"
3526902;35;"SP";"metropolitana"
3300704;33;"RJ";"metropolitana"
3516200;35;"SP";"metropolitana"
1600303;16;"AP";"metropolitana"
3503208;35;"SP";"metropolitana"
3548906;35;"SP";"metropolitana"
3541406;35;"SP";"metropolitana"
5107602;51;"MT";"metropolitana"
2504009;25;"PB";"metropolitana"
2611101;26;"PE";"metropolitana"
4316808;43;"RS";"metropolitana"
4314407;43;"RS";"metropolitana"
1200401;12;"AC";"metropolitana"
1400100;14;"RR";"metropolitana"
5003702;50;"MS";"metropolitana"
2105302;21;"MA";"metropolitana"
3529005;35;"SP";"metropolitana"
3167202;31;"MG";"metropolitana"
1504208;15;"PA";"metropolitana"
3502804;35;"SP";"metropolitana"
4316907;43;"RS";"metropolitana"
3152501;31;"MG";"metropolitana"
4311403;43;"RS";"metropolitana"
4202909;42;"SC";"metropolitana"
3151800;31;"MG";"metropolitana"
3518404;35;"SP";"metropolitana"
2408003;24;"RN";"metropolitana"
3127701;31;"MG";"metropolitana"
3122306;31;"MG";"metropolitana"
5107909;51;"MT";"metropolitana"
4218707;42;"SC";"metropolitana"
3511102;35;"SP";"metropolitana"
3201209;32;"ES";"metropolitana"
4209300;42;"SC";"metropolitana"
1506807;15;"PA";"metropolitana"
3170701;31;"MG";"metropolitana"
3505500;35;"SP";"metropolitana"
3525300;35;"SP";"metropolitana"
2312908;23;"CE";"metropolitana"
2700300;27;"AL";"metropolitana"
2913606;29;"BA";"metropolitana"
1702109;17;"TO";"metropolitana"
1502400;15;"PA";"metropolitana"
2903201;29;"BA";"metropolitana"
1100122;11;"RO";"metropolitana"
4203006;42;"SC";"metropolitana"
2910727;29;"BA";"metropolitana"
3168606;31;"MG";"metropolitana"
2606002;26;"PE";"metropolitana"
4209003;42;"SC";"metropolitana"
1100049;11;"RO";"metropolitana"
3523909;35;"SP";"metropolitana"
3304201;33;"RJ";"metropolitana"
1505536;15;"PA";"metropolitana"
3520509;35;"SP";"metropolitana"
3543907;35;"SP";"metropolitana"
4208906;42;"SC";"metropolitana"
3530706;35;"SP";"metropolitana"
4302105;43;"RS";"metropolitana"
5008305;50;"MS";"metropolitana"
5218805;52;"GO";"metropolitana"
4118204;41;"PR";"metropolitana"
4315602;43;"RS";"metropolitana"
4127700;41;"PR";"metropolitana"
3203205;32;"ES";"metropolitana"
4109401;41;"PR";"metropolitana"
5211503;52;"GO";"metropolitana"
3551702;35;"SP";"metropolitana"
3507605;35;"SP";"metropolitana"
3503307;35;"SP";"metropolitana"
3507506;35;"SP";"metropolitana"
3303401;33;"RJ";"metropolitana"
3522307;35;"SP";"metropolitana"
4307005;43;"RS";"metropolitana"
3148004;31;"MG";"metropolitana"
4101507;41;"PR";"metropolitana"
4118501;41;"PR";"metropolitana"
4301602;43;"RS";"metropolitana"
4104303;41;"PR";"metropolitana"
4306106;43;"RS";"metropolitana"
4128104;41;"PR";"metropolitana"
3201506;32;"ES";"metropolitana"
2900702;29;"BA";"metropolitana"
4310207;43;"RS";"metropolitana"
5107958;51;"MT";"metropolitana"
