"CODE_MUNI";"STATE";"REGION";"region"
3550308;"SP";35;"metropolitana"
3304557;"RJ";33;"metropolitana"
5300108;"DF";53;"metropolitana"
3106200;"MG";31;"metropolitana"
4314902;"RS";43;"metropolitana"
4106902;"PR";41;"metropolitana"
3509502;"SP";35;"metropolitana"
2927408;"BA";29;"metropolitana"
2611606;"PE";26;"metropolitana"
2304400;"CE";23;"metropolitana"
1302603;"AM";13;"metropolitana"
5208707;"GO";52;"metropolitana"
3205309;"ES";32;"metropolitana"
1501402;"PA";15;"metropolitana"
4205407;"SC";42;"metropolitana"
3543402;"SP";35;"metropolitana"
2111300;"MA";21;"metropolitana"
2408102;"RN";24;"metropolitana"
5103403;"MT";51;"metropolitana"
5002704;"MS";50;"metropolitana"
2507507;"PB";25;"metropolitana"
2704302;"AL";27;"metropolitana"
2800308;"SE";28;"metropolitana"
2211001;"PI";22;"metropolitana"
3549904;"SP";35;"metropolitana"
3552205;"SP";35;"metropolitana"
3170206;"MG";31;"metropolitana"
4208203;"SC";42;"metropolitana"
4209102;"SC";42;"metropolitana"
4113700;"PR";41;"metropolitana"
4305108;"RS";43;"metropolitana"
4115200;"PR";41;"metropolitana"
4202404;"SC";42;"metropolitana"
3549805;"SP";35;"metropolitana"
3136702;"MG";31;"metropolitana"
1100205;"RO";11;"metropolitana"
3506003;"SP";35;"metropolitana"
2910800;"BA";29;"metropolitana"
4204608;"SC";42;"metropolitana"
4104808;"PR";41;"metropolitana"
4204202;"SC";42;"metropolitana"
3143302;"MG";31;"metropolitana"
4314100;"RS";43;"metropolitana"
1721000;"TO";17;"metropolitana"
2307304;"CE";23;"metropolitana"
2604106;"PE";26;"metropolitana"
2933307;"BA";29;"metropolitana"
2914802;"BA";29;"metropolitana"
3525904;"SP";35;"metropolitana"
3548500;"SP";35;"metropolitana"
3302403;"RJ";33;"metropolitana"
3538709;"SP";35;"metropolitana"
3301009;"RJ";33;"metropolitana"
3501608;"SP";35;"metropolitana"
3306305;"RJ";33;"metropolitana"
3131307;"MG";31;"metropolitana"
4119905;"PR";41;"metropolitana"
4108304;"PR";41;"metropolitana"
3170107;"MG";31;"metropolitana"
5201108;"GO";52;"metropolitana"
3303906;"RJ";33;"metropolitana"
3526902;"SP";35;"metropolitana"
3300704;"RJ";33;"metropolitana"
3516200;"SP";35;"metropolitana"
1600303;"AP";16;"metropolitana"
3503208;"SP";35;"metropolitana"
3548906;"SP";35;"metropolitana"
3541406;"SP";35;"metropolitana"
5107602;"MT";51;"metropolitana"
2504009;"PB";25;"metropolitana"
2611101;"PE";26;"metropolitana"
4316808;"RS";43;"metropolitana"
4314407;"RS";43;"metropolitana"
1200401;"AC";12;"metropolitana"
1400100;"RR";14;"metropolitana"
5003702;"MS";50;"metropolitana"
2105302;"MA";21;"metropolitana"
