COD_UF;UF;COD_CIDADE;NOME_CIDADE;pop2018;area;hierarquia
35;SP;3550308;Arranjo Populacional de São Paulo/SP;21510595;7153,971;Grande Metrópole Nacional
33;RJ;3304557;Arranjo Populacional do Rio de Janeiro/RJ;12712762;6044,980;Metrópole Nacional
53;DF;5300108;Arranjo Populacional de Brasília/DF;3931072;17199,340;Metrópole Nacional
31;MG;3106200;Arranjo Populacional de Belo Horizonte/MG;5160564;5519,435;Metrópole
43;RS;4314902;Arranjo Populacional de Porto Alegre/RS;3955384;5791,354;Metrópole
41;PR;4106902;Arranjo Populacional de Curitiba/PR;3430082;7872,809;Metrópole
35;SP;3509502;Arranjo Populacional de Campinas/SP;2140988;1774,602;Metrópole
29;BA;2927408;Arranjo Populacional de Salvador/BA;3795668;3617,513;Metrópole
26;PE;2611606;Arranjo Populacional do Recife/PE;4031485;3036,429;Metrópole
23;CE;2304400;Arranjo Populacional de Fortaleza/CE;3615573;3081,488;Metrópole
13;AM;1302603;Manaus;2145444;11401,092;Metrópole
52;GO;5208707;Arranjo Populacional de Goiânia/GO;2458668;4972,041;Metrópole
32;ES;3205309;Arranjo Populacional de Vitória/ES;1828691;1733,830;Metrópole
15;PA;1501402;Arranjo Populacional de Belém/PA;2202308;1541,078;Metrópole
42;SC;4205407;Arranjo Populacional de Florianópolis/SC;1036775;3208,084;Metrópole
35;SP;3543402;Arranjo Populacional de Ribeirão Preto/SP;858911;2299,919;Capital Regional A
21;MA;2111300;Arranjo Populacional de São Luís/MA;1421946;969,833;Capital Regional A
24;RN;2408102;Arranjo Populacional de Natal/RN;1342500;1191,938;Capital Regional A
51;MT;5103403;Arranjo Populacional de Cuiabá/MT;889162;4209,106;Capital Regional A
50;MS;5002704;Campo Grande;885711;8092,951;Capital Regional A
25;PB;2507507;Arranjo Populacional de João Pessoa/PB;1136627;1258,646;Capital Regional A
27;AL;2704302;Arranjo Populacional de Maceió/AL;1211882;1582,363;Capital Regional A
28;SE;2800308;Arranjo Populacional de Aracaju/SE;1050402;1631,343;Capital Regional A
22;PI;2211001;Arranjo Populacional de Teresina/PI;1029415;3155,658;Capital Regional A
35;SP;3549904;Arranjo Populacional de São José dos Campos/SP;1593938;4577,600;Capital Regional B
35;SP;3552205;Arranjo Populacional de Sorocaba/SP;889472;1253,395;Capital Regional B
31;MG;3170206;Uberlândia;683247;4115,206;Capital Regional B
42;SC;4208203;Arranjo Populacional de Itajaí - Balneário Camboriú/SC;597484;953,020;Capital Regional B
42;SC;4209102;Arranjo Populacional de Joinville/SC;619854;1512,118;Capital Regional B
41;PR;4113700;Arranjo Populacional de Londrina/PR;736153;2604,864;Capital Regional B
43;RS;4305108;Arranjo Populacional de Caxias do Sul/RS;581481;2059,518;Capital Regional B
41;PR;4115200;Arranjo Populacional de Maringá/PR;636899;2430,697;Capital Regional B
42;SC;4202404;Arranjo Populacional de Blumenau/SC;502853;1587,518;Capital Regional B
35;SP;3549805;Arranjo Populacional de São José do Rio Preto/SP;614999;2594,674;Capital Regional B
31;MG;3136702;Arranjo Populacional de Juiz de Fora/MG;588332;1985,145;Capital Regional B
11;RO;1100205;Arranjo Populacional de Porto Velho/RO;545514;40934,822;Capital Regional B
35;SP;3506003;Arranjo Populacional de Bauru/SP;387775;1070,093;Capital Regional B
29;BA;2910800;Feira de Santana;609913;1304,425;Capital Regional B
42;SC;4204608;Arranjo Populacional de Criciúma/SC;386044;2031,530;Capital Regional B
41;PR;4104808;Arranjo Populacional de Cascavel/PR;334658;2427,264;Capital Regional B
42;SC;4204202;Arranjo Populacional de Chapecó/SC;225749;914,544;Capital Regional B
31;MG;3143302;Montes Claros;404804;3568,941;Capital Regional B
43;RS;4314100;Passo Fundo;201767;783,603;Capital Regional B
17;TO;1721000;Palmas;291855;2218,942;Capital Regional B
23;CE;2307304;Arranjo Populacional de Juazeiro do Norte/CE;463453;1994,807;Capital Regional B
26;PE;2604106;Caruaru;356872;920,610;Capital Regional B
29;BA;2933307;Vitória da Conquista;338885;3705,838;Capital Regional B
29;BA;2914802;Itabuna;212740;401,028;Capital Regional B
35;SP;3525904;Arranjo Populacional de Jundiaí/SP;804936;1269,462;Capital Regional C
35;SP;3548500;Arranjo Populacional da Baixada Santista/SP;1719370;1610,975;Capital Regional C
33;RJ;3302403;Arranjo Populacional de Macaé - Rio das Ostras/RJ;480018;2563,046;Capital Regional C
35;SP;3538709;Arranjo Populacional de Piracicaba/SP;460838;1880,310;Capital Regional C
33;RJ;3301009;Arranjo Populacional de Campos dos Goytacazes/RJ;539562;4484,883;Capital Regional C
35;SP;3501608;Arranjo Populacional de Americana - Santa Bárbara d´Oeste/SP;489019;478,730;Capital Regional C
33;RJ;3306305;Arranjo Populacional de Volta Redonda - Barra Mansa/RJ;480915;811,492;Capital Regional C
31;MG;3131307;Arranjo Populacional de Ipatinga/MG;556788;2253,391;Capital Regional C
41;PR;4119905;Arranjo Populacional de Ponta Grossa/PR;371036;2704,412;Capital Regional C
41;PR;4108304;Arranjo Populacional Internacional de Foz do Iguaçu/Brasil - Ciudad del Este/Paraguai;282047;877,746;Capital Regional C
31;MG;3170107;Uberaba;330361;4523,957;Capital Regional C
52;GO;5201108;Anápolis;381970;933,156;Capital Regional C
33;RJ;3303906;Arranjo Populacional de Petrópolis/RJ;318158;901,868;Capital Regional C
35;SP;3526902;Arranjo Populacional de Limeira/SP;327528;695,829;Capital Regional C
33;RJ;3300704;Arranjo Populacional de Cabo Frio/RJ;388710;969,580;Capital Regional C
35;SP;3516200;Arranjo Populacional de Franca/SP;396919;2376,580;Capital Regional C
16;AP;1600303;Arranjo Populacional de Macapá/AP;613244;8105,073;Capital Regional C
35;SP;3503208;Arranjo Populacional de Araraquara/SP;298033;1840,848;Capital Regional C
35;SP;3548906;Arranjo Populacional de São Carlos/SP;284141;1427,885;Capital Regional C
35;SP;3541406;Arranjo Populacional de Presidente Prudente/SP;357319;4971,540;Capital Regional C
51;MT;5107602;Rondonópolis;228857;4686,622;Capital Regional C
25;PB;2504009;Arranjo Populacional de Campina Grande/PB;506146;1382,186;Capital Regional C
26;PE;2611101;Arranjo Populacional de Petrolina/PE - Juazeiro/BA;559048;11283,107;Capital Regional C
43;RS;4316808;Arranjo Populacional de Santa Cruz do Sul/RS;156045;1043,030;Capital Regional C
43;RS;4314407;Arranjo Populacional de Pelotas/RS;369866;2519,774;Capital Regional C
12;AC;1200401;Rio Branco;401155;8834,942;Capital Regional C
14;RR;1400100;Boa Vista;375374;5687,037;Capital Regional C
50;MS;5003702;Dourados;220965;4086,237;Capital Regional C
21;MA;2105302;Arranjo Populacional de Imperatriz/MA;270917;1704,755;Capital Regional C
35;SP;3529005;Arranjo Populacional de Marília/SP;254481;1636,899;Capital Regional C
31;MG;3167202;Arranjo Populacional de Sete Lagoas/MG;254143;905,829;Capital Regional C
15;PA;1504208;Marabá;275086;15128,058;Capital Regional C
35;SP;3502804;Araçatuba;195874;1167,126;Capital Regional C
43;RS;4316907;Arranjo Populacional de Santa Maria/RS;285964;1954,367;Capital Regional C
31;MG;3152501;Pouso Alegre;148862;542,797;Capital Regional C
43;RS;4311403;Arranjo Populacional de Lajeado/RS;175364;955,101;Capital Regional C
42;SC;4202909;Arranjo Populacional de Brusque/SC;160144;754,295;Capital Regional C
31;MG;3151800;Poços de Caldas;166111;546,958;Capital Regional C
35;SP;3518404;Arranjo Populacional de Guaratinguetá/SP;191966;1048,834;Capital Regional C
24;RN;2408003;Mossoró;294076;2099,333;Capital Regional C
31;MG;3127701;Governador Valadares;278685;2342,325;Capital Regional C
31;MG;3122306;Divinópolis;235977;708,115;Capital Regional C
51;MT;5107909;Sinop;139935;3941,958;Capital Regional C
